date,zone,demand_mw,load_shed_mw
04-02-2023,Mymensingh,960,173
04-02-2023,Sylhet,361,0
04-02-2023,Barisal,268,0
04-02-2023,Rangpur,713,0
05-02-2023,Dhaka,3636,0
05-02-2023,Chittagong,928,0
05-02-2023,Khulna,1176,0
05-02-2023,Rajshahi,1067,0
05-02-2023,Comilla,875,0
05-02-2023,Mymensingh,925,158
05-02-2023,Sylhet,348,0
05-02-2023,Barisal,265,0
05-02-2023,Rangpur,734,0
06-02-2023,Dhaka,3491,0
06-02-2023,Chittagong,1007,0
06-02-2023,Khulna,1132,0
06-02-2023,Rajshahi,1023,0
06-02-2023,Comilla,877,0
06-02-2023,Mymensingh,927,107
06-02-2023,Sylhet,364,0
06-02-2023,Barisal,278,0
06-02-2023,Rangpur,701,0
07-02-2023,Dhaka,3493,0
07-02-2023,Chittagong,988,0
07-02-2023,Khulna,1141,0
07-02-2023,Rajshahi,1079,0
07-02-2023,Comilla,843,0
07-02-2023,Mymensingh,947,35
07-02-2023,Sylhet,358,0
07-02-2023,Barisal,276,0
07-02-2023,Rangpur,711,0
08-02-2023,Dhaka,3627,10
08-02-2023,Chittagong,1017,0
08-02-2023,Khulna,1134,0
08-02-2023,Rajshahi,1049,0
08-02-2023,Comilla,907,0
08-02-2023,Mymensingh,954,45
08-02-2023,Sylhet,360,0
08-02-2023,Barisal,271,0
08-02-2023,Rangpur,703,0
09-02-2023,Dhaka,3662,30
09-02-2023,Chittagong,1048,0
09-02-2023,Khulna,1141,0
09-02-2023,Rajshahi,1035,0
09-02-2023,Comilla,918,0
09-02-2023,Mymensingh,973,105
09-02-2023,Sylhet,364,0
09-02-2023,Barisal,281,0
09-02-2023,Rangpur,692,0
10-02-2023,Dhaka,3073,0
10-02-2023,Chittagong,947,0
10-02-2023,Khulna,1112,0
10-02-2023,Rajshahi,1016,0
10-02-2023,Comilla,844,0
10-02-2023,Mymensingh,890,18
10-02-2023,Sylhet,344,0
10-02-2023,Barisal,269,0
10-02-2023,Rangpur,703,0
11-02-2023,Dhaka,3532,0
11-02-2023,Chittagong,1044,0
11-02-2023,Khulna,1130,0
11-02-2023,Rajshahi,1002,0
11-02-2023,Comilla,905,0
11-02-2023,Mymensingh,934,25
11-02-2023,Sylhet,352,0
11-02-2023,Barisal,274,0
11-02-2023,Rangpur,671,0
12-02-2023,Dhaka,3639,60
12-02-2023,Chittagong,1078,0
12-02-2023,Khulna,1162,0
12-02-2023,Rajshahi,1086,40
12-02-2023,Comilla,918,0
12-02-2023,Mymensingh,895,76
12-02-2023,Sylhet,345,0
12-02-2023,Barisal,289,0
12-02-2023,Rangpur,674,50
13-02-2023,Dhaka,3586,0
13-02-2023,Chittagong,1016,0
13-02-2023,Khulna,1145,0
13-02-2023,Rajshahi,1101,0
13-02-2023,Comilla,867,0
13-02-2023,Mymensingh,944,35
13-02-2023,Sylhet,347,0
13-02-2023,Barisal,278,0
13-02-2023,Rangpur,736,10
14-02-2023,Dhaka,3599,0
14-02-2023,Chittagong,1053,0
14-02-2023,Khulna,1161,0
14-02-2023,Rajshahi,1139,0
14-02-2023,Comilla,865,0
14-02-2023,Mymensingh,982,69
14-02-2023,Sylhet,364,0
14-02-2023,Barisal,272,0
14-02-2023,Rangpur,739,0
15-02-2023,Dhaka,3756,0
15-02-2023,Chittagong,1003,0
15-02-2023,Khulna,1188,0
15-02-2023,Rajshahi,1117,130
15-02-2023,Comilla,868,0
15-02-2023,Mymensingh,1002,210
15-02-2023,Sylhet,370,0
15-02-2023,Barisal,271,0
15-02-2023,Rangpur,743,130
16-02-2023,Dhaka,3614,0
16-02-2023,Chittagong,1018,0
16-02-2023,Khulna,1157,0
16-02-2023,Rajshahi,1092,0
16-02-2023,Comilla,885,0
16-02-2023,Mymensingh,989,40
16-02-2023,Sylhet,362,0
16-02-2023,Barisal,278,0
16-02-2023,Rangpur,724,0
17-02-2023,Dhaka,3131,0
17-02-2023,Chittagong,1004,0
17-02-2023,Khulna,1113,0
17-02-2023,Rajshahi,1037,0
17-02-2023,Comilla,821,0
17-02-2023,Mymensingh,925,22
17-02-2023,Sylhet,333,0
17-02-2023,Barisal,260,0
17-02-2023,Rangpur,724,0
18-02-2023,Dhaka,3655,0
18-02-2023,Chittagong,1058,0
18-02-2023,Khulna,1167,0
18-02-2023,Rajshahi,1088,0
18-02-2023,Comilla,850,0
18-02-2023,Mymensingh,937,0
18-02-2023,Sylhet,373,0
18-02-2023,Barisal,278,0
18-02-2023,Rangpur,717,0
19-02-2023,Dhaka,3871,0
19-02-2023,Chittagong,1055,0
19-02-2023,Khulna,1209,0
19-02-2023,Rajshahi,1136,0
19-02-2023,Comilla,925,0
19-02-2023,Mymensingh,971,75
19-02-2023,Sylhet,357,0
19-02-2023,Barisal,284,0
19-02-2023,Rangpur,736,0
20-02-2023,Dhaka,3788,0
20-02-2023,Chittagong,1038,0
20-02-2023,Khulna,1193,0
20-02-2023,Rajshahi,1099,0
20-02-2023,Comilla,868,0
20-02-2023,Mymensingh,956,56
20-02-2023,Sylhet,379,0
20-02-2023,Barisal,282,0
20-02-2023,Rangpur,695,0
21-02-2023,Dhaka,3208,0
21-02-2023,Chittagong,938,0
21-02-2023,Khulna,1231,0
21-02-2023,Rajshahi,1154,0
21-02-2023,Comilla,888,0
21-02-2023,Mymensingh,937,0
21-02-2023,Sylhet,373,0
21-02-2023,Barisal,276,0
21-02-2023,Rangpur,717,0
22-02-2023,Dhaka,4101,0
22-02-2023,Chittagong,1123,0
22-02-2023,Khulna,1230,0
22-02-2023,Rajshahi,1104,55
22-02-2023,Comilla,948,0
22-02-2023,Mymensingh,968,10
22-02-2023,Sylhet,355,0
22-02-2023,Barisal,298,0
22-02-2023,Rangpur,713,36
23-02-2023,Dhaka,4011,0
23-02-2023,Chittagong,1121,0
23-02-2023,Khulna,1276,0
23-02-2023,Rajshahi,1173,0
23-02-2023,Comilla,997,0
23-02-2023,Mymensingh,955,0
23-02-2023,Sylhet,381,0
23-02-2023,Barisal,299,0
23-02-2023,Rangpur,708,0
24-02-2023,Dhaka,3672,0
24-02-2023,Chittagong,1032,0
24-02-2023,Khulna,1241,0
24-02-2023,Rajshahi,1091,0
24-02-2023,Comilla,976,0
24-02-2023,Mymensingh,936,0
24-02-2023,Sylhet,365,0
24-02-2023,Barisal,291,0
24-02-2023,Rangpur,673,0
25-02-2023,Dhaka,4023,0
25-02-2023,Chittagong,1081,0
25-02-2023,Khulna,1320,0
25-02-2023,Rajshahi,1197,0
25-02-2023,Comilla,1008,0
25-02-2023,Mymensingh,977,75
25-02-2023,Sylhet,382,0
25-02-2023,Barisal,311,0
25-02-2023,Rangpur,767,0
26-02-2023,Dhaka,3977,0
26-02-2023,Chittagong,1073,0
26-02-2023,Khulna,1232,0
26-02-2023,Rajshahi,1195,0
26-02-2023,Comilla,947,0
26-02-2023,Mymensingh,953,0
26-02-2023,Sylhet,358,0
26-02-2023,Barisal,283,0
26-02-2023,Rangpur,711,0
27-02-2023,Dhaka,4213,0
27-02-2023,Chittagong,1110,0
27-02-2023,Khulna,1328,0
27-02-2023,Rajshahi,1221,0
27-02-2023,Comilla,955,0
27-02-2023,Mymensingh,1007,80
27-02-2023,Sylhet,382,0
27-02-2023,Barisal,294,0
27-02-2023,Rangpur,776,0
28-02-2023,Dhaka,4168,0
28-02-2023,Chittagong,1102,0
28-02-2023,Khulna,1303,0
28-02-2023,Rajshahi,1237,0
28-02-2023,Comilla,1001,0
28-02-2023,Mymensingh,936,20
28-02-2023,Sylhet,372,0
28-02-2023,Barisal,303,0
28-02-2023,Rangpur,754,0
01-03-2023,Dhaka,4249,0
01-03-2023,Chittagong,1192,0
01-03-2023,Khulna,1324,0
01-03-2023,Rajshahi,1247,0
01-03-2023,Comilla,1002,0
01-03-2023,Mymensingh,1020,65
01-03-2023,Sylhet,397,0
01-03-2023,Barisal,292,0
01-03-2023,Rangpur,776,0
02-03-2023,Dhaka,4293,0
02-03-2023,Chittagong,1092,0
02-03-2023,Khulna,1378,0
02-03-2023,Rajshahi,1240,0
02-03-2023,Comilla,1032,0
02-03-2023,Mymensingh,1004,43
02-03-2023,Sylhet,403,0
02-03-2023,Barisal,300,0
02-03-2023,Rangpur,773,0
03-03-2023,Dhaka,3674,0
03-03-2023,Chittagong,1102,0
03-03-2023,Khulna,1280,0
03-03-2023,Rajshahi,1195,0
03-03-2023,Comilla,981,0
03-03-2023,Mymensingh,965,0
03-03-2023,Sylhet,385,0
03-03-2023,Barisal,288,0
03-03-2023,Rangpur,735,0
04-03-2023,Dhaka,4269,0
04-03-2023,Chittagong,1112,0
04-03-2023,Khulna,1376,0
04-03-2023,Rajshahi,1276,0
04-03-2023,Comilla,1067,0
04-03-2023,Mymensingh,1055,178
04-03-2023,Sylhet,419,0
04-03-2023,Barisal,318,0
04-03-2023,Rangpur,812,0
05-03-2023,Dhaka,4381,29
05-03-2023,Chittagong,1074,0
05-03-2023,Khulna,1466,0
05-03-2023,Rajshahi,1253,78
05-03-2023,Comilla,1112,0
05-03-2023,Mymensingh,1074,120
05-03-2023,Sylhet,428,9
05-03-2023,Barisal,303,0
05-03-2023,Rangpur,778,0
06-03-2023,Dhaka,4552,0
06-03-2023,Chittagong,1139,0
06-03-2023,Khulna,1386,0
06-03-2023,Rajshahi,1299,0
06-03-2023,Comilla,1076,0
06-03-2023,Mymensingh,1068,52
06-03-2023,Sylhet,443,0
06-03-2023,Barisal,304,0
06-03-2023,Rangpur,795,0
07-03-2023,Dhaka,3868,0
07-03-2023,Chittagong,1052,0
07-03-2023,Khulna,1375,0
07-03-2023,Rajshahi,1228,0
07-03-2023,Comilla,1064,0
07-03-2023,Mymensingh,1066,60
07-03-2023,Sylhet,416,0
07-03-2023,Barisal,310,0
07-03-2023,Rangpur,769,0
08-03-2023,Dhaka,3524,0
08-03-2023,Chittagong,999,0
08-03-2023,Khulna,1289,0
08-03-2023,Rajshahi,1246,0
08-03-2023,Comilla,1002,0
08-03-2023,Mymensingh,991,18
08-03-2023,Sylhet,402,0
08-03-2023,Barisal,290,0
08-03-2023,Rangpur,728,0
09-03-2023,Dhaka,4375,0
09-03-2023,Chittagong,1142,0
09-03-2023,Khulna,1387,0
09-03-2023,Rajshahi,1308,0
09-03-2023,Comilla,1047,0
09-03-2023,Mymensingh,1098,155
09-03-2023,Sylhet,440,0
09-03-2023,Barisal,302,0
09-03-2023,Rangpur,829,0
10-03-2023,Dhaka,3788,0
10-03-2023,Chittagong,1096,0
10-03-2023,Khulna,1261,0
10-03-2023,Rajshahi,1179,0
10-03-2023,Comilla,993,0
10-03-2023,Mymensingh,1033,30
10-03-2023,Sylhet,395,0
10-03-2023,Barisal,280,0
10-03-2023,Rangpur,776,0
11-03-2023,Dhaka,4353,0
11-03-2023,Chittagong,1169,0
11-03-2023,Khulna,1341,0
11-03-2023,Rajshahi,1267,0
11-03-2023,Comilla,1086,0
11-03-2023,Mymensingh,1026,45
11-03-2023,Sylhet,446,0
11-03-2023,Barisal,341,0
11-03-2023,Rangpur,845,0
12-03-2023,Dhaka,4618,0
12-03-2023,Chittagong,1208,0
12-03-2023,Khulna,1416,0
12-03-2023,Rajshahi,1351,0
12-03-2023,Comilla,1133,0
12-03-2023,Mymensingh,1090,75
12-03-2023,Sylhet,463,0
12-03-2023,Barisal,333,0
12-03-2023,Rangpur,847,0
13-03-2023,Dhaka,4580,10
13-03-2023,Chittagong,1175,0
13-03-2023,Khulna,1465,0
13-03-2023,Rajshahi,1376,0
13-03-2023,Comilla,1160,0
13-03-2023,Mymensingh,1127,105
13-03-2023,Sylhet,485,0
13-03-2023,Barisal,330,0
13-03-2023,Rangpur,910,0
14-03-2023,Dhaka,4633,0
14-03-2023,Chittagong,1179,0
14-03-2023,Khulna,1444,0
14-03-2023,Rajshahi,1420,0
14-03-2023,Comilla,1145,0
14-03-2023,Mymensingh,1010,0
14-03-2023,Sylhet,433,0
14-03-2023,Barisal,325,0
14-03-2023,Rangpur,844,0
15-03-2023,Dhaka,4647,0
15-03-2023,Chittagong,1222,0
15-03-2023,Khulna,1456,0
15-03-2023,Rajshahi,1394,0
15-03-2023,Comilla,1049,0
15-03-2023,Mymensingh,1056,40
15-03-2023,Sylhet,405,0
15-03-2023,Barisal,327,0
15-03-2023,Rangpur,678,0
16-03-2023,Dhaka,4710,0
16-03-2023,Chittagong,1304,0
16-03-2023,Khulna,1460,0
16-03-2023,Rajshahi,1281,0
16-03-2023,Comilla,1097,0
16-03-2023,Mymensingh,1054,32
16-03-2023,Sylhet,430,0
16-03-2023,Barisal,344,0
16-03-2023,Rangpur,824,0
17-03-2023,Dhaka,3564,0
17-03-2023,Chittagong,1149,0
17-03-2023,Khulna,1158,0
17-03-2023,Rajshahi,931,0
17-03-2023,Comilla,994,0
17-03-2023,Mymensingh,634,0
17-03-2023,Sylhet,354,0
17-03-2023,Barisal,302,0
17-03-2023,Rangpur,645,0
18-03-2023,Dhaka,4371,11
18-03-2023,Chittagong,1193,0
18-03-2023,Khulna,1366,0
18-03-2023,Rajshahi,1257,0
18-03-2023,Comilla,1118,0
18-03-2023,Mymensingh,1026,46
18-03-2023,Sylhet,434,0
18-03-2023,Barisal,303,0
18-03-2023,Rangpur,876,0
19-03-2023,Dhaka,3433,0
19-03-2023,Chittagong,1163,0
19-03-2023,Khulna,969,0
19-03-2023,Rajshahi,1024,0
19-03-2023,Comilla,653,0
19-03-2023,Mymensingh,769,0
19-03-2023,Sylhet,350,0
19-03-2023,Barisal,166,0
19-03-2023,Rangpur,704,0
20-03-2023,Dhaka,4053,0
20-03-2023,Chittagong,1025,0
20-03-2023,Khulna,1121,0
20-03-2023,Rajshahi,986,0
20-03-2023,Comilla,904,0
20-03-2023,Mymensingh,600,0
20-03-2023,Sylhet,334,0
20-03-2023,Barisal,280,0
20-03-2023,Rangpur,651,0
21-03-2023,Dhaka,4020,0
21-03-2023,Chittagong,1035,0
21-03-2023,Khulna,1155,0
21-03-2023,Rajshahi,1016,0
21-03-2023,Comilla,659,0
21-03-2023,Mymensingh,832,0
21-03-2023,Sylhet,368,0
21-03-2023,Barisal,239,0
21-03-2023,Rangpur,654,0
22-03-2023,Dhaka,4282,0
22-03-2023,Chittagong,1031,0
22-03-2023,Khulna,1311,0
22-03-2023,Rajshahi,1081,0
22-03-2023,Comilla,915,0
22-03-2023,Mymensingh,872,0
22-03-2023,Sylhet,380,0
22-03-2023,Barisal,288,0
22-03-2023,Rangpur,690,0
23-03-2023,Dhaka,4291,0
23-03-2023,Chittagong,1133,0
23-03-2023,Khulna,1412,0
23-03-2023,Rajshahi,1158,0
23-03-2023,Comilla,907,0
23-03-2023,Mymensingh,947,0
23-03-2023,Sylhet,374,0
23-03-2023,Barisal,313,0
23-03-2023,Rangpur,773,0
24-03-2023,Dhaka,3687,0
24-03-2023,Chittagong,1109,0
24-03-2023,Khulna,1410,0
24-03-2023,Rajshahi,1116,0
24-03-2023,Comilla,886,0
24-03-2023,Mymensingh,903,0
