date,demand_mw,previous_load_shed,load_shed_3day_avg,load_shed_7day_avg,previous_demand,demand_3day_avg,demand_change,day_of_week,month,day_of_month,is_weekend,actual_next_day_risk,predicted_probability
2025-01-13,-0.999235,-0.20621985,-0.11213022,-0.3875248,0.20398948,-1.4192644,0.17011915,-0.2798346,0.48026115,0.003028695,-0.07263804,0,0.019601678
2025-01-14,-1.238937,-0.1858124,-0.06950875,-0.3508312,0.03722599,-1.1606861,-0.07116183,-0.072341904,0.45083693,0.04854177,-0.08349922,0,0.018180285
2025-01-15,-0.9026407,-0.18572813,-0.07643568,-0.39338893,0.033175096,-1.1515332,-0.040280882,-0.22720383,0.47463855,0.067109145,-0.090218775,0,0.022195881
2025-01-16,-0.8268658,-0.20163095,-0.10026131,-0.38027406,0.21988037,-0.941032,0.24580619,-0.5331468,0.47492433,-0.31318966,-0.08851519,0,0.023266505
2025-01-17,-1.4016924,-0.17045644,-0.047868803,-0.4201414,-0.096407145,-0.93251127,-0.7440329,-0.3656021,0.37957478,-0.38136467,-0.097958826,0,0.003790885
2025-01-18,-0.6395912,-0.20826487,-0.10175034,-0.3601182,-0.928549,-1.338107,-0.028999517,0.07574812,0.61303234,-0.4239121,0.09010256,0,0.010526195
2025-01-19,-0.4380819,-0.21136905,-0.057548482,-0.34422082,0.06592113,-1.2487601,0.19475818,0.89248276,0.7919784,-0.41952083,0.11716102,0,0.12454287
2025-01-20,-0.94008845,-0.20272857,-0.09480912,-0.3325645,0.19516166,-1.3259958,0.20834827,-0.3042336,0.40931442,-0.3571439,-0.07036996,0,0.016174644
2025-01-21,-1.1418586,-0.21002145,-0.078992836,-0.29059255,0.10469966,-1.0696244,-0.27965948,-0.082334734,0.38086078,-0.32720262,-0.08103188,0,0.012509771
2025-01-22,-0.8115549,-0.20650075,-0.07630903,-0.32602727,0.0781337,-0.9597477,0.23068732,-0.2766906,0.4063107,-0.42113316,-0.09104351,0,0.023050005
2025-01-23,-0.76814604,-0.1999085,-0.08005276,-0.33616716,0.23629268,-0.8850648,0.26359785,-0.55185723,0.41218832,-0.40351737,-0.08056517,0,0.024456605
2025-01-24,-1.3745742,-0.18919428,-0.07332248,-0.34935147,-0.0904482,-0.90734285,-0.10782681,-0.4730537,0.31679428,-0.21196839,-0.08123114,0,0.007888606
2025-01-25,-0.6537603,-0.20016536,-0.087525986,-0.34074906,-0.917663,-1.3216836,-0.053381566,0.06057994,0.45494103,-0.3178214,0.0957034,0,0.010206987
2025-01-26,-0.7871138,-0.21677843,-0.05184692,-0.28784996,-0.41015583,-0.8714724,-0.33879596,0.7422689,0.5556586,-0.116910785,0.14695945,0,0.050741725
2025-01-27,-1.0616689,-0.20866357,-0.09624248,-0.28522784,0.23766364,-0.9653645,0.17756738,-0.31913596,0.3230802,-0.0046016388,-0.08532137,0,0.027098365
2025-01-28,-1.1306578,-0.1870321,-0.0715054,-0.2052177,-0.017383445,-0.7748473,-0.10102501,-0.061653785,0.32223088,0.40406457,-0.07637336,0,0.039456666
2025-01-29,-0.72325486,-0.18826284,-0.07010604,-0.24659303,-0.04150141,-0.98231006,-0.11108005,-0.21942025,0.35598338,0.5510545,-0.07741096,0,0.04539928
2025-01-30,-0.94484466,-0.19818263,-0.071696386,-0.26612547,-0.030322209,-0.93889475,-0.28387102,-0.50604665,0.36644083,0.7184741,-0.0761741,0,0.02863322
2025-01-31,-1.2229394,-0.16466768,-0.03793073,-0.2882027,-0.3325193,-1.2271729,-0.5844612,-0.33342195,0.34439984,1.6146512,-0.08254823,0,0.026398163
2025-02-01,-0.8090239,-0.20723361,-0.17659514,-0.35363156,-0.92887247,-1.4048148,0.07577836,0.16270319,0.28393105,0.42802784,0.09088591,0,0.015801216
2025-02-02,-0.9100323,-0.22909252,-0.16152447,-0.36222368,-0.055231195,-1.4217994,-0.21873182,0.7410994,0.40069568,0.3693845,0.11857802,0,0.046451904
